,year,region,deaths
201,2003,Argyll and Bute,22
202,2004,Argyll and Bute,17
203,2005,Argyll and Bute,20
204,2006,Argyll and Bute,25
205,2007,Argyll and Bute,30
206,2008,Argyll and Bute,20
207,2009,Argyll and Bute,19
208,2010,Argyll and Bute,30
209,2011,Argyll and Bute,15
210,2012,Argyll and Bute,14
211,2013,Argyll and Bute,14
212,2014,Argyll and Bute,19
213,2015,Argyll and Bute,22
214,2016,Argyll and Bute,15
215,2017,Argyll and Bute,28
216,2018,Argyll and Bute,24
217,2019,Argyll and Bute,14
218,2020,Argyll and Bute,28
219,2021,Argyll and Bute,20
220,2022,Argyll and Bute,24
221,1979,City of Edinburgh,42
222,1980,City of Edinburgh,33
223,1981,City of Edinburgh,50
224,1982,City of Edinburgh,41
225,1983,City of Edinburgh,41
226,1984,City of Edinburgh,45
227,1985,City of Edinburgh,39
228,1986,City of Edinburgh,45
229,1987,City of Edinburgh,36
230,1988,City of Edinburgh,52
231,1989,City of Edinburgh,61
232,1990,City of Edinburgh,45
233,1991,City of Edinburgh,54
234,1992,City of Edinburgh,39
235,1993,City of Edinburgh,45
236,1994,City of Edinburgh,50
237,1995,City of Edinburgh,55
238,1996,City of Edinburgh,70
239,1997,City of Edinburgh,67
240,1998,City of Edinburgh,62
241,1999,City of Edinburgh,83
242,2000,City of Edinburgh,107
243,2001,City of Edinburgh,122
244,2002,City of Edinburgh,105
245,2003,City of Edinburgh,98
246,2004,City of Edinburgh,110
247,2005,City of Edinburgh,125
248,2006,City of Edinburgh,98
249,2007,City of Edinburgh,92
250,2008,City of Edinburgh,94
251,2009,City of Edinburgh,90
252,2010,City of Edinburgh,95
253,2011,City of Edinburgh,74
254,2012,City of Edinburgh,61
255,2013,City of Edinburgh,77
256,2014,City of Edinburgh,79
257,2015,City of Edinburgh,73
258,2016,City of Edinburgh,84
259,2017,City of Edinburgh,96
260,2018,City of Edinburgh,91
261,2019,City of Edinburgh,71
262,2020,City of Edinburgh,102
263,2021,City of Edinburgh,102
264,2022,City of Edinburgh,93
265,1979,Clackmannanshire,0
266,1980,Clackmannanshire,4
267,1981,Clackmannanshire,0
268,1982,Clackmannanshire,1
269,1983,Clackmannanshire,4
270,1984,Clackmannanshire,1
271,1985,Clackmannanshire,0
272,1986,Clackmannanshire,2
273,1987,Clackmannanshire,2
274,1988,Clackmannanshire,5
275,1989,Clackmannanshire,2
276,1990,Clackmannanshire,5
277,1991,Clackmannanshire,2
278,1992,Clackmannanshire,7
279,1993,Clackmannanshire,5
280,1994,Clackmannanshire,2
281,1995,Clackmannanshire,6
282,1996,Clackmannanshire,6
283,1997,Clackmannanshire,4
284,1998,Clackmannanshire,8
285,1999,Clackmannanshire,12
286,2000,Clackmannanshire,9
287,2001,Clackmannanshire,8
288,2002,Clackmannanshire,10
289,2003,Clackmannanshire,7
290,2004,Clackmannanshire,13
291,2005,Clackmannanshire,7
292,2006,Clackmannanshire,15
293,2007,Clackmannanshire,11
294,2008,Clackmannanshire,16
295,2009,Clackmannanshire,10
296,2010,Clackmannanshire,5
297,2011,Clackmannanshire,12
298,2012,Clackmannanshire,6
299,2013,Clackmannanshire,16
300,2014,Clackmannanshire,6
301,2015,Clackmannanshire,13
302,2016,Clackmannanshire,11
303,2017,Clackmannanshire,6
304,2018,Clackmannanshire,8
305,2019,Clackmannanshire,15
306,2020,Clackmannanshire,12
307,2021,Clackmannanshire,9
308,2022,Clackmannanshire,13
309,1979,Dumfries and Galloway,4
310,1980,Dumfries and Galloway,6
311,1981,Dumfries and Galloway,4
312,1982,Dumfries and Galloway,4
313,1983,Dumfries and Galloway,4
314,1984,Dumfries and Galloway,10
315,1985,Dumfries and Galloway,7
316,1986,Dumfries and Galloway,4
317,1987,Dumfries and Galloway,7
318,1988,Dumfries and Galloway,7
319,1989,Dumfries and Galloway,9
320,1990,Dumfries and Galloway,4
321,1991,Dumfries and Galloway,9
322,1992,Dumfries and Galloway,6
323,1993,Dumfries and Galloway,8
324,1994,Dumfries and Galloway,9
325,1995,Dumfries and Galloway,11
326,1996,Dumfries and Galloway,10
327,1997,Dumfries and Galloway,14
328,1998,Dumfries and Galloway,19
329,1999,Dumfries and Galloway,10
330,2000,Dumfries and Galloway,17
331,2001,Dumfries and Galloway,21
332,2002,Dumfries and Galloway,23
333,2003,Dumfries and Galloway,25
334,2004,Dumfries and Galloway,23
335,2005,Dumfries and Galloway,26
336,2006,Dumfries and Galloway,31
337,2007,Dumfries and Galloway,22
338,2008,Dumfries and Galloway,23
339,2009,Dumfries and Galloway,29
340,2010,Dumfries and Galloway,31
341,2011,Dumfries and Galloway,18
342,2012,Dumfries and Galloway,11
343,2013,Dumfries and Galloway,19
344,2014,Dumfries and Galloway,12
345,2015,Dumfries and Galloway,27
346,2016,Dumfries and Galloway,25
347,2017,Dumfries and Galloway,15
348,2018,Dumfries and Galloway,25
349,2019,Dumfries and Galloway,23
350,2020,Dumfries and Galloway,24
351,2021,Dumfries and Galloway,25
352,2022,Dumfries and Galloway,36
353,1979,Dundee City,11
354,1980,Dundee City,9
355,1981,Dundee City,9
356,1982,Dundee City,9
357,1983,Dundee City,13
358,1984,Dundee City,10
359,1985,Dundee City,16
360,1986,Dundee City,10
361,1987,Dundee City,14
362,1988,Dundee City,11
363,1989,Dundee City,11
364,1990,Dundee City,17
365,1991,Dundee City,17
366,1992,Dundee City,17
367,1993,Dundee City,19
368,1994,Dundee City,18
369,1995,Dundee City,22
370,1996,Dundee City,26
371,1997,Dundee City,24
372,1998,Dundee City,25
373,1999,Dundee City,37
374,2000,Dundee City,32
375,2001,Dundee City,45
376,2002,Dundee City,45
377,2003,Dundee City,61
378,2004,Dundee City,62
379,2005,Dundee City,51
380,2006,Dundee City,45
381,2007,Dundee City,44
382,2008,Dundee City,64
383,2009,Dundee City,49
384,2010,Dundee City,44
385,2011,Dundee City,45
386,2012,Dundee City,33
387,2013,Dundee City,29
388,2014,Dundee City,37
389,2015,Dundee City,49
390,2016,Dundee City,35
391,2017,Dundee City,32
392,2018,Dundee City,36
393,2019,Dundee City,30
394,2020,Dundee City,43
395,2021,Dundee City,46
396,2022,Dundee City,37
397,1979,East Ayrshire,4
398,1980,East Ayrshire,5
399,1981,East Ayrshire,10
400,1982,East Ayrshire,6
401,1983,East Ayrshire,7
402,1984,East Ayrshire,7
403,1985,East Ayrshire,3
404,1986,East Ayrshire,3
405,1987,East Ayrshire,7
406,1988,East Ayrshire,4
407,1989,East Ayrshire,4
408,1990,East Ayrshire,11
409,1991,East Ayrshire,5
410,1992,East Ayrshire,7
411,1993,East Ayrshire,3
412,1994,East Ayrshire,15
413,1995,East Ayrshire,12
414,1996,East Ayrshire,16
415,1997,East Ayrshire,16
416,1998,East Ayrshire,11
417,1999,East Ayrshire,22
418,2000,East Ayrshire,34
419,2001,East Ayrshire,25
420,2002,East Ayrshire,24
421,2003,East Ayrshire,26
422,2004,East Ayrshire,18
423,2005,East Ayrshire,25
424,2006,East Ayrshire,33
425,2007,East Ayrshire,38
426,2008,East Ayrshire,27
427,2009,East Ayrshire,29
428,2010,East Ayrshire,29
429,2011,East Ayrshire,23
430,2012,East Ayrshire,21
431,2013,East Ayrshire,34
